User_ID,Heart_Rate
0,137
0,113
0,123
0,119
0,136
0,110
0,115
0,118
0,135
0,115
0,134
0,116
0,124
0,131
0,139
0,134
0,115
0,118
0,130
0,119
0,135
0,139
0,122
0,108
0,99
0,136
0,128
0,109
0,121
0,119
0,105
0,106
0,121
0,137
0,125
0,123
0,132
0,143
0,111
0,112
0,123
0,117
0,119
0,117
0,116
0,121
0,101
0,142
0,128
0,111
0,114
0,116
0,108
0,126
0,128
0,128
0,109
0,120
0,129
0,131
0,129
0,121
0,117
0,128
0,95
0,126
1,169
1,168
1,169
1,169
1,167
1,168
1,171
1,167
1,167
1,169
1,168
1,171
1,168
1,170
1,166
1,170
1,168
1,169
1,167
1,167
1,168
1,168
1,167
1,167
1,168
1,168
1,166
1,167
1,169
1,170
1,170
1,170
1,168
1,168
1,171
1,169
1,166
1,169
1,168
1,168
1,169
1,168
1,169
1,167
1,168
1,169
1,170
1,168
1,168
1,170
1,169
1,170
1,168
1,168
1,170
1,170
1,168
1,170
1,167
1,167
1,169
1,165
1,169
1,169
1,170
1,169
1,170
1,168
1,168
1,167
1,169
1,170
1,168
1,170
1,167
1,168
1,168
1,169
1,169
1,168
1,170
1,167
1,166
1,168
1,169
1,169
1,167
1,170
1,167
2,150
2,135
2,129
2,144
2,147
2,124
2,132
2,155
2,124
2,130
2,143
2,126
2,145
2,157
2,144
2,157
2,155
2,146
2,146
2,131
2,141
2,132
2,115
2,146
2,154
2,133
2,139
2,160
2,152
2,142
2,135
2,133
2,129
2,127
2,137
2,154
2,149
2,139
2,136
2,158
2,151
2,128
2,119
2,145
2,134
2,132
2,137
2,152
2,151
2,150
2,146
2,144
2,126
2,159
2,146
2,146
2,154
2,132
2,125
2,116
2,137
2,146
2,132
2,151
2,154
2,135
2,121
2,118
2,123
2,150
2,126
2,164
2,134
2,149
2,139
2,131
3,122
3,133
3,137
3,151
3,135
3,144
3,146
3,139
3,126
3,136
3,128
3,150
3,131
3,138
3,122
3,131
3,121
3,138
3,131
3,134
3,138
3,125
3,143
3,133
3,129
3,127
3,137
3,132
3,129
3,133
3,140
3,139
3,144
3,130
3,138
3,128
3,145
3,143
3,131
3,122
3,150
3,129
3,142
3,138
3,131
3,135
3,131
3,126
3,133
3,149
3,144
3,136
3,129
3,147
3,140
3,140
3,140
3,142
3,137
3,126
3,130
3,144
3,120
3,123
4,169
4,179
4,172
4,143
4,164
4,171
4,167
4,168
4,162
4,160
4,173
4,160
4,168
4,175
4,164
4,156
4,179
4,161
4,162
4,161
4,160
4,165
4,181
4,168
4,174
4,165
4,156
4,169
4,160
4,164
4,161
4,179
4,158
4,166
4,179
4,163
4,157
4,169
4,157
4,165
4,155
4,166
4,160
4,167
4,166
4,151
4,163
4,168
4,168
4,153
4,171
4,162
4,165
4,164
4,165
4,175
4,175
4,159
4,170
4,165
4,143
4,163
4,168
4,156
4,175
4,160
4,169
4,172
4,158
4,170
4,173
4,165
4,158
4,175
5,163
5,158
5,170
5,161
5,168
5,168
5,161
5,167
5,167
5,165
5,162
5,170
5,163
5,162
5,166
5,164
5,167
5,170
5,161
5,159
5,169
5,169
5,161
5,165
5,167
5,165
5,168
5,158
5,164
5,167
5,161
5,161
5,170
5,163
5,163
5,167
5,164
5,158
5,157
5,173
5,165
5,170
5,167
5,162
5,165
5,168
5,159
5,168
5,156
5,173
5,161
5,167
5,167
5,169
5,159
5,167
5,161
5,162
5,167
5,170
5,169
5,164
5,164
5,169
5,157
5,162
5,169
5,167
5,165
5,168
5,159
6,130
6,139
6,137
6,137
6,128
6,150
6,143
6,107
6,115
6,163
6,122
6,114
6,127
6,134
6,132
6,130
6,120
6,160
6,135
6,124
6,140
6,135
6,154
6,147
6,126
6,144
6,156
6,165
6,142
6,148
6,145
6,135
6,146
6,131
6,132
6,130
6,148
6,149
6,131
6,128
6,134
6,134
6,150
6,143
6,119
6,132
6,130
6,134
6,132
