track_id,user_id,playcount
TRIRLYL128F42539D1,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRFUPBA128F934F7E1,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRLQPQJ128F42AA94F,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRTUCUY128F92E1D24,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRHDDQG12903CB53EE,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRGRDEC128F423C07D,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRRYCBO128F932A2C7,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRUTULC128F4293712,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRAAHSY128F147BB5C,b80344d063b5ccb3212f76538f3d9e43d87dca9e,2
TRDLMWP128F426BF6C,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRMSZXT128F92F7816,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRVODUZ128F934D094,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRLXSNR128F429361D,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRPUGUW128F426BF6F,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRAUCNU128F42671EB,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRVVWSW128F4292931,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRADVZX128F426BF79,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRDCZUX128F4263A74,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRUYKTB128F1459197,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRQLOHS128F42435AE,b80344d063b5ccb3212f76538f3d9e43d87dca9e,1
TRISTWT128F1488FBB,e006b1a48f466bf59feefed32bec6494495a4436,1
TRKPWGR128E078EE06,e006b1a48f466bf59feefed32bec6494495a4436,2
TRJZLOA128F930369C,e006b1a48f466bf59feefed32bec6494495a4436,4
TRUZPNY128F147FD23,e006b1a48f466bf59feefed32bec6494495a4436,1
TRLSADE128F9321896,e006b1a48f466bf59feefed32bec6494495a4436,1
TRONYHY128F92C9D11,e006b1a48f466bf59feefed32bec6494495a4436,2
TRTDKMT128F92CDD87,e006b1a48f466bf59feefed32bec6494495a4436,3
TRHNJTW128E0784786,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRNJLKP128F427CE28,b64cdd1a0bd907e5e00b39e345194768e330d652,3
TRZACEN128F428E742,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRGASNY128F14696B0,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRISTWT128F1488FBB,b64cdd1a0bd907e5e00b39e345194768e330d652,3
TRJXVFS128F14696B2,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRXVLLH128F9314656,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRTNHLR128F428D317,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRVCFUI128F92E1D42,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRFLOVK128F14696AD,b64cdd1a0bd907e5e00b39e345194768e330d652,3
TROSBSJ128F427CE2C,b64cdd1a0bd907e5e00b39e345194768e330d652,3
TRSQWMI128F932FC8A,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRMSHPF128E07889CE,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRUAFFD128F4277048,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRAQVTO128F14696A6,b64cdd1a0bd907e5e00b39e345194768e330d652,4
TRXGIBZ128F427CE2B,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRCTZRO128F1488FC1,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRVLPDN128E07889D1,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRNPKRK128F429831C,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRFCJQM128F428D30A,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TREEOJN128F148C86A,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRYQHBW128E0784785,b64cdd1a0bd907e5e00b39e345194768e330d652,2
TRPHPKY128F428D304,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRFYVIE128F148C86E,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRPRGAC128F428D310,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRRKODA128F146DE22,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRCKWGF12903CD2DCD,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRBLJBU128F934147B,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRVGDMZ128F428D313,b64cdd1a0bd907e5e00b39e345194768e330d652,1
TRDNHAW128F429DB9A,17aa9f6dbdf753831da8f38c71b66b64373de613,1
TRWRUCY128F424351B,17aa9f6dbdf753831da8f38c71b66b64373de613,1
TRFRGTX12903CF7AB1,17aa9f6dbdf753831da8f38c71b66b64373de613,1
TRMJCWE128F42396CD,17aa9f6dbdf753831da8f38c71b66b64373de613,2
TRQIPME12903CFDBB6,17aa9f6dbdf753831da8f38c71b66b64373de613,1
TRRXFHO128EF3550BC,17aa9f6dbdf753831da8f38c71b66b64373de613,1
