track_id,0
TRIOREW128F424EAF0,4
TRRIVDJ128F429B0E8,4
TROUVHL128F426C441,3
TRUEIND128F93038C4,2
TRLNZBD128F935E4D8,2
TRUMISQ128F9340BEE,3
TRVCCWR128F9304A30,2
TRXOGZT128F424AD74,2
TRMZXEW128F9341FD5,2
TRUJIIV12903CA8848,3
TRIODZU128E078F3E2,4
TRURKLR12903CEBD47,3
TRYEZGE128F92D04C8,7
TRUENYK128F4274057,3
TRXNTMB12903CA884A,4
TRREXPI128E078EE14,2
TRAJBOD128F9303DCD,1
TRFNTDZ128F426B34D,3
TRCSXPV128F425E2F7,2
TRDKPRZ128F92F37EA,4
TRIQRZJ128F14898B4,3
TRRPNNQ12903CB411A,1
TRRSVFJ128F426FB31,3
TRWEHTV12903D086FC,4
TRLSLNY128F93265C9,3
TRIQWYH128F1486062,2
TRXZBFS128F92F24D2,3
TRAGABG12903CEC68B,2
TRBBHPO128F930F55D,3
TRXCXKA128F92E6258,7
TRLQLBZ128F42A70F4,2
TRJLKMS128F1494A77,4
TRUOEWJ128F9345A85,5
TRJVKZX128F4236A44,7
TRUTNPC128F9300385,3
TRCPUIV128E079280D,3
TROIDPM12903CBDB4D,2
TRIPMMN12903CF4B8A,2
TRIWYMW128F145E0F9,2
TRAOMFT128F42A7684,1
TRFOPON12903CDF30E,3
TRXENSY128F4286505,3
TRSXCET128F92EB269,1
TRNNGMK128F423F034,4
TRAALAH128E078234A,2
TRQFICK128F92F5190,2
TRVRWFY128F4286EF9,4
TRADPIA128E078EE1B,4
TRFKBXC128F4243FFD,4
TRCYMBL128F4289BC1,5
TRIMWJA128F9309A68,3
TRRISDV128F42A72DA,3
TRSFPEE128F429B0EE,3
TRXDGZZ128F92F9696,4
TRRSZKD128F933D41E,4
TRFNNSW12903CDCD85,2
TRCYFSS128F934406C,4
TREFXDG128F421F525,2
TRAIOMW12903CB235C,2
TRPFYYL128F92F7144,2
TRAAZQM128F93042E6,3
TRLPNCR128F4262D8E,1
TRXZXTP12903CB667B,3
TRFROHP128F9309571,3
TRDOMPC128F4236A4D,4
TRUGANP12903CB2C46,3
TRFNTRW128F422C28C,3
TRFWGOJ128E0780C8B,2
TRRSJTI128F423D1C1,4
TRHMVGF128E078ED9B,2
TRUIVAV128F424A428,7
TRUFXWT128F147928F,5
TRCUKNC12903CA03A6,4
TRCRCBT128F4260DD1,2
TRSCMBY128F9311188,4
TRYFDIV128F42BAF81,4
TRCSKKO128EF33DD14,1
TRYJPIH128F4262602,1
TREIGEZ12903CD2F22,4
TRAAHSY128F147BB5C,3
TRQEQMC128F4251B04,2
TRJQVPN128F932BE9C,3
TRJCDDQ128F429B0E4,2
TRPSVTL128F936017F,1
TRDYCXM128F424421F,1
TRDKODA128F92FAF36,3
TRDILER128F425B313,3
TRXCSBC128E07943A1,7
TRIQAMB128F4248D92,4
